district,state,point_id,latitude,longitude,elevation_m,slope_degrees,aspect_degrees,slope_direction,terrain_type,flood_risk_elevation,landslide_risk,land_cover,soil_type,drainage_density
Buldhana,Maharashtra,BUL_021,20.2382,76.126,313.6,11.3,336.0,North,Hillside,High,Moderate,Agricultural,Rocky,3.05
Buldhana,Maharashtra,BUL_022,20.8213,76.2715,893.5,3.0,232.5,West,Peak,Moderate,Low,Urban,Rocky,4.29
Buldhana,Maharashtra,BUL_023,20.528,76.0899,509.2,7.8,62.2,East,Hillside,Moderate,Low,Agricultural,Rocky,3.69
Buldhana,Maharashtra,BUL_024,20.5653,76.1372,712.6,10.3,193.3,South,Peak,Moderate,Moderate,Agricultural,Rocky,0.85
Buldhana,Maharashtra,BUL_025,20.3598,76.0965,485.3,7.8,102.3,East,Hillside,Moderate,Low,Forest,Black Cotton,4.28
Buldhana,Maharashtra,BUL_026,20.5945,76.4078,479.6,6.0,37.5,North,Hillside,Moderate,Low,Agricultural,Red Laterite,0.65
Buldhana,Maharashtra,BUL_027,20.6484,76.1112,397.2,6.7,330.3,North,Hillside,High,Low,Agricultural,Black Cotton,1.57
Buldhana,Maharashtra,BUL_028,20.6852,76.0256,658.2,7.2,185.9,South,Peak,Moderate,Low,Forest,Red Laterite,1.81
Buldhana,Maharashtra,BUL_029,20.7905,76.0388,572.8,4.1,30.3,North,Hillside,Moderate,Low,Forest,Alluvial,3.6
Buldhana,Maharashtra,BUL_030,20.413,76.4823,574.2,7.7,39.9,North,Hillside,Moderate,Low,Agricultural,Sandy,1.34
Chandrapur,Maharashtra,CHA_001,19.9446,79.0314,160.3,6.1,128.0,East,Hillside,High,Low,Agricultural,Sandy,0.77
Chandrapur,Maharashtra,CHA_002,19.8797,79.385,223.5,5.1,340.4,North,Hillside,High,Low,Barren,Sandy,3.4
Chandrapur,Maharashtra,CHA_003,19.9263,79.013,196.2,7.5,139.8,South,Hillside,High,Low,Barren,Red Laterite,0.71
Chandrapur,Maharashtra,CHA_004,19.7057,79.0147,145.2,9.6,250.0,West,Hillside,High,Low,Forest,Black Cotton,3.49
Chandrapur,Maharashtra,CHA_005,19.9141,79.0464,169.7,9.8,169.3,South,Hillside,High,Low,Forest,Black Cotton,2.47
Chandrapur,Maharashtra,CHA_006,19.7197,79.3927,191.6,9.0,242.5,West,Hillside,High,Low,Urban,Black Cotton,2.07
Chandrapur,Maharashtra,CHA_007,20.0027,79.1041,238.7,4.5,350.2,North,Peak,High,Low,Forest,Alluvial,2.74
Chandrapur,Maharashtra,CHA_008,20.0604,79.4535,194.3,6.3,178.0,South,Hillside,High,Low,Barren,Red Laterite,0.78
Chandrapur,Maharashtra,CHA_009,19.9175,79.1464,250.2,5.8,288.2,West,Peak,High,Low,Barren,Alluvial,3.13
Chandrapur,Maharashtra,CHA_010,19.8894,79.0623,41.1,7.6,275.0,West,Valley,Very High,Low,Agricultural,Alluvial,4.44
Chandrapur,Maharashtra,CHA_011,19.8184,79.5189,182.3,3.5,21.2,North,Hillside,High,Low,Urban,Alluvial,3.33
Chandrapur,Maharashtra,CHA_012,20.0695,79.0536,249.5,5.8,24.1,North,Peak,High,Low,Forest,Alluvial,2.28
Chandrapur,Maharashtra,CHA_013,20.1058,79.5674,210.1,7.8,203.6,South,Hillside,High,Low,Forest,Alluvial,1.14
Chandrapur,Maharashtra,CHA_014,19.9529,79.5368,76.8,6.9,162.5,South,Valley,Very High,Low,Urban,Black Cotton,2.5
Chandrapur,Maharashtra,CHA_015,19.719,79.0408,224.0,8.1,236.9,West,Hillside,High,Low,Urban,Rocky,1.6
Chandrapur,Maharashtra,CHA_016,19.7342,79.01,186.7,8.6,17.6,North,Hillside,High,Low,Urban,Alluvial,0.89
Chandrapur,Maharashtra,CHA_017,19.9872,79.4123,165.5,2.9,21.6,North,Hillside,High,Low,Agricultural,Alluvial,1.69
Chandrapur,Maharashtra,CHA_018,19.9589,79.2407,13.5,3.8,85.5,East,Valley,Very High,Low,Forest,Red Laterite,1.19
Chandrapur,Maharashtra,CHA_019,20.0872,79.1995,170.2,7.5,331.2,North,Hillside,High,Low,Barren,Alluvial,2.06
Chandrapur,Maharashtra,CHA_020,19.7848,79.3982,236.4,9.1,344.5,North,Peak,High,Low,Forest,Red Laterite,0.83
Chandrapur,Maharashtra,CHA_021,20.1715,79.4192,85.5,9.3,72.8,East,Valley,Very High,Low,Forest,Alluvial,2.72
Chandrapur,Maharashtra,CHA_022,19.9064,79.55,146.7,4.1,111.3,East,Hillside,High,Low,Agricultural,Alluvial,2.52
Chandrapur,Maharashtra,CHA_023,20.1175,79.353,194.0,6.8,227.1,West,Hillside,High,Low,Agricultural,Rocky,2.45
Chandrapur,Maharashtra,CHA_024,19.7422,79.5085,197.4,7.9,163.3,South,Hillside,High,Low,Forest,Black Cotton,2.11
Chandrapur,Maharashtra,CHA_025,19.8876,79.3651,159.7,8.9,278.6,West,Hillside,High,Low,Barren,Red Laterite,1.67
Chandrapur,Maharashtra,CHA_026,20.135,79.1585,256.9,3.0,205.9,South,Peak,High,Low,Urban,Alluvial,4.4
Chandrapur,Maharashtra,CHA_027,19.9433,79.3338,130.4,8.1,268.2,West,Hillside,High,Low,Agricultural,Alluvial,2.07
Chandrapur,Maharashtra,CHA_028,19.692,79.1154,184.7,10.8,198.8,South,Hillside,High,Moderate,Forest,Black Cotton,3.28
Chandrapur,Maharashtra,CHA_029,19.853,79.2345,185.0,3.7,1.1,North,Hillside,High,Low,Barren,Alluvial,1.1
Chandrapur,Maharashtra,CHA_030,20.0556,79.2432,143.2,6.6,327.1,North,Hillside,High,Low,Agricultural,Alluvial,4.4
Dhule,Maharashtra,DHU_001,21.1311,74.9127,396.5,9.0,54.8,East,Hillside,High,Low,Barren,Red Laterite,4.48
Dhule,Maharashtra,DHU_002,20.9564,74.937,283.6,2.7,173.2,South,Hillside,High,Low,Forest,Red Laterite,2.01
Dhule,Maharashtra,DHU_003,20.734,74.5897,375.4,7.2,84.0,East,Hillside,High,Low,Agricultural,Red Laterite,3.08
Dhule,Maharashtra,DHU_004,20.8497,74.7819,388.7,3.1,73.5,East,Hillside,High,Low,Forest,Black Cotton,1.68
Dhule,Maharashtra,DHU_005,21.0493,74.6245,423.2,4.8,195.0,South,Peak,Moderate,Low,Forest,Black Cotton,3.81
Dhule,Maharashtra,DHU_006,21.1955,75.0342,336.9,8.0,233.2,West,Hillside,High,Low,Agricultural,Alluvial,3.12
Dhule,Maharashtra,DHU_007,20.7876,74.8457,302.5,10.8,239.0,West,Hillside,High,Moderate,Urban,Rocky,3.07
Dhule,Maharashtra,DHU_008,20.9312,74.7477,376.8,6.0,199.1,South,Hillside,High,Low,Agricultural,Black Cotton,2.89
Dhule,Maharashtra,DHU_009,20.9013,74.848,282.9,7.9,234.6,West,Hillside,High,Low,Barren,Red Laterite,1.8
Dhule,Maharashtra,DHU_010,21.0768,74.4762,389.0,4.2,203.0,South,Hillside,High,Low,Agricultural,Black Cotton,1.82
Dhule,Maharashtra,DHU_011,20.8312,74.5851,275.0,4.4,54.4,East,Hillside,High,Low,Agricultural,Alluvial,1.5
Dhule,Maharashtra,DHU_012,20.7658,74.8635,356.6,6.9,290.2,West,Hillside,High,Low,Urban,Black Cotton,3.8
Dhule,Maharashtra,DHU_013,21.136,74.5577,395.1,6.1,245.0,West,Hillside,High,Low,Agricultural,Alluvial,1.75
Dhule,Maharashtra,DHU_014,21.0208,74.8146,454.6,12.2,277.9,West,Peak,Moderate,Moderate,Forest,Black Cotton,1.1
Dhule,Maharashtra,DHU_015,20.9031,74.5751,388.1,9.0,322.2,North,Hillside,High,Low,Barren,Red Laterite,1.72
Dhule,Maharashtra,DHU_016,20.884,75.0692,289.3,8.2,104.4,East,Hillside,High,Low,Forest,Sandy,3.34
Dhule,Maharashtra,DHU_017,20.7783,74.9118,541.9,7.8,261.8,West,Peak,Moderate,Low,Forest,Black Cotton,4.18
Dhule,Maharashtra,DHU_018,20.8178,74.4845,82.1,9.9,228.3,West,Valley,Very High,Low,Forest,Sandy,2.82
Dhule,Maharashtra,DHU_019,20.8411,74.7975,321.3,3.5,24.2,North,Hillside,High,Low,Agricultural,Red Laterite,2.21
Dhule,Maharashtra,DHU_020,21.1067,74.6144,190.9,5.2,142.9,South,Valley,High,Low,Forest,Alluvial,1.95
Dhule,Maharashtra,DHU_021,20.7559,74.8323,410.5,10.3,136.5,South,Hillside,Moderate,Moderate,Urban,Black Cotton,2.4
Dhule,Maharashtra,DHU_022,20.6356,74.7186,405.9,9.9,144.1,South,Hillside,Moderate,Low,Forest,Sandy,3.69
Dhule,Maharashtra,DHU_023,20.6542,75.0566,294.9,0.0,214.9,South,Hillside,High,Low,Urban,Black Cotton,2.46
Dhule,Maharashtra,DHU_024,20.8896,74.5152,419.1,9.8,277.2,West,Hillside,Moderate,Low,Forest,Black Cotton,2.84
Dhule,Maharashtra,DHU_025,20.8919,74.8072,490.5,8.0,139.5,South,Peak,Moderate,Low,Forest,Red Laterite,0.99
Dhule,Maharashtra,DHU_026,20.7522,74.5043,241.1,10.1,98.7,East,Hillside,High,Moderate,Agricultural,Black Cotton,2.37
Dhule,Maharashtra,DHU_027,21.0428,74.5245,477.9,6.8,121.3,East,Peak,Moderate,Low,Barren,Alluvial,0.59
Dhule,Maharashtra,DHU_028,20.7129,75.0113,531.8,2.5,154.9,South,Peak,Moderate,Low,Agricultural,Red Laterite,1.79
Dhule,Maharashtra,DHU_029,20.9052,74.683,295.8,8.1,276.5,West,Hillside,High,Low,Barren,Rocky,1.37
Dhule,Maharashtra,DHU_030,20.9729,74.6354,223.0,5.8,162.3,South,Hillside,High,Low,Urban,Sandy,1.55
Gadchiroli,Maharashtra,GAD_001,20.4768,80.1991,332.2,2.6,152.9,South,Peak,High,Low,Water Body,Sandy,1.41
Gadchiroli,Maharashtra,GAD_002,19.881,80.0361,187.1,6.2,5.4,North,Hillside,High,Low,Forest,Red Laterite,4.24
Gadchiroli,Maharashtra,GAD_003,20.3797,79.9057,250.0,8.3,118.2,East,Hillside,High,Low,Urban,Alluvial,1.21
Gadchiroli,Maharashtra,GAD_004,20.2309,80.1298,224.7,14.1,301.7,West,Hillside,High,Moderate,Urban,Rocky,2.86
Gadchiroli,Maharashtra,GAD_005,19.9296,79.795,326.2,4.5,303.6,West,Peak,High,Low,Forest,Sandy,2.44
Gadchiroli,Maharashtra,GAD_006,19.923,80.0428,254.6,7.9,81.7,East,Hillside,High,Low,Water Body,Black Cotton,1.73
Gadchiroli,Maharashtra,GAD_007,20.1896,79.8303,253.1,12.7,44.1,North,Hillside,High,Moderate,Forest,Red Laterite,2.66
Gadchiroli,Maharashtra,GAD_008,20.0726,79.7232,262.0,5.8,140.5,South,Hillside,High,Low,Agricultural,Black Cotton,1.25
Gadchiroli,Maharashtra,GAD_009,20.3891,80.2081,344.7,3.9,196.8,South,Peak,High,Low,Forest,Red Laterite,2.38
Gadchiroli,Maharashtra,GAD_010,20.2159,79.9403,209.1,7.9,72.0,East,Hillside,High,Low,Forest,Alluvial,1.0
Gadchiroli,Maharashtra,GAD_011,20.1055,80.2608,133.1,9.3,10.6,North,Valley,High,Low,Agricultural,Rocky,0.63
Gadchiroli,Maharashtra,GAD_012,20.2607,80.0494,222.5,6.2,134.5,East,Hillside,High,Low,Agricultural,Alluvial,2.26
Gadchiroli,Maharashtra,GAD_013,20.1931,79.8495,304.1,13.8,181.9,South,Peak,High,Moderate,Barren,Sandy,4.09
Gadchiroli,Maharashtra,GAD_014,20.2277,79.7737,375.4,10.3,49.8,East,Peak,High,Moderate,Forest,Alluvial,1.15
Gadchiroli,Maharashtra,GAD_015,20.1069,79.9084,306.9,15.6,30.7,North,Peak,High,Moderate,Urban,Black Cotton,1.84
Gadchiroli,Maharashtra,GAD_016,20.4094,80.2127,316.4,8.9,79.0,East,Peak,High,Low,Agricultural,Sandy,1.73
Gadchiroli,Maharashtra,GAD_017,20.4252,80.2038,252.7,12.2,32.7,North,Hillside,High,Moderate,Forest,Black Cotton,3.29
Gadchiroli,Maharashtra,GAD_018,20.1673,79.7677,364.0,5.6,321.9,North,Peak,High,Low,Urban,Alluvial,1.44
Gadchiroli,Maharashtra,GAD_019,20.0144,80.2447,183.4,8.7,190.2,South,Hillside,High,Low,Agricultural,Black Cotton,1.38
Gadchiroli,Maharashtra,GAD_020,20.0416,80.0017,140.6,13.9,303.0,West,Valley,High,Moderate,Agricultural,Rocky,2.56
Gadchiroli,Maharashtra,GAD_021,20.2785,80.0727,202.5,5.4,235.9,West,Hillside,High,Low,Urban,Black Cotton,2.93
Gadchiroli,Maharashtra,GAD_022,20.3255,79.9131,302.9,11.4,153.0,South,Peak,High,Moderate,Forest,Sandy,2.78
Gadchiroli,Maharashtra,GAD_023,20.244,80.1135,248.5,8.2,280.5,West,Hillside,High,Low,Forest,Rocky,4.28
Gadchiroli,Maharashtra,GAD_024,20.0242,80.0606,314.2,12.8,212.5,South,Peak,High,Moderate,Agricultural,Rocky,1.4
Gadchiroli,Maharashtra,GAD_025,20.0813,79.8684,234.1,2.9,90.8,East,Hillside,High,Low,Forest,Rocky,2.27
Gadchiroli,Maharashtra,GAD_026,20.0269,80.0727,336.3,1.8,359.8,North,Peak,High,Low,Forest,Black Cotton,0.75
Gadchiroli,Maharashtra,GAD_027,20.2194,79.9281,93.7,4.8,93.3,East,Valley,Very High,Low,Agricultural,Sandy,3.96
Gadchiroli,Maharashtra,GAD_028,20.4686,79.9607,247.9,7.9,237.3,West,Hillside,High,Low,Forest,Alluvial,4.32
Gadchiroli,Maharashtra,GAD_029,19.9405,79.9547,287.2,9.4,224.3,South,Hillside,High,Low,Agricultural,Alluvial,4.26
Gadchiroli,Maharashtra,GAD_030,20.0726,80.1063,175.0,11.4,116.3,East,Hillside,High,Moderate,Forest,Sandy,2.96
Gondia,Maharashtra,GON_001,21.1829,80.3937,297.2,8.5,28.1,North,Hillside,High,Low,Agricultural,Alluvial,2.12
Gondia,Maharashtra,GON_002,21.2488,80.436,416.6,3.2,47.6,East,Peak,Moderate,Low,Forest,Alluvial,0.93
Gondia,Maharashtra,GON_003,21.2992,80.3394,303.2,5.0,96.7,East,Hillside,High,Low,Forest,Red Laterite,2.0
Gondia,Maharashtra,GON_004,21.3101,80.1112,561.7,6.2,38.7,North,Peak,Moderate,Low,Urban,Black Cotton,0.65
Gondia,Maharashtra,GON_005,21.3211,80.1222,436.5,5.2,38.0,North,Peak,Moderate,Low,Forest,Alluvial,1.67
Gondia,Maharashtra,GON_006,21.5076,80.1935,175.2,4.0,304.0,West,Valley,High,Low,Urban,Black Cotton,4.19
Gondia,Maharashtra,GON_007,21.6855,80.3709,224.5,5.6,41.4,North,Hillside,High,Low,Urban,Alluvial,2.53
Gondia,Maharashtra,GON_008,21.3817,80.4275,354.5,7.2,90.7,East,Hillside,High,Low,Agricultural,Red Laterite,1.46
Gondia,Maharashtra,GON_009,21.5816,80.188,322.7,7.8,332.5,North,Hillside,High,Low,Urban,Alluvial,1.98
Gondia,Maharashtra,GON_010,21.1781,80.2881,228.9,5.8,58.0,East,Hillside,High,Low,Urban,Black Cotton,1.89
Gondia,Maharashtra,GON_011,21.4395,80.1358,194.3,3.2,54.2,East,Hillside,High,Low,Forest,Alluvial,3.26
Gondia,Maharashtra,GON_012,21.4745,80.0558,423.2,5.1,267.2,West,Peak,Moderate,Low,Forest,Red Laterite,2.06
Gondia,Maharashtra,GON_013,21.3766,80.1807,203.2,7.2,25.0,North,Hillside,High,Low,Forest,Alluvial,2.43
Gondia,Maharashtra,GON_014,21.3348,80.0697,457.4,5.9,325.3,North,Peak,Moderate,Low,Water Body,Alluvial,2.94
Gondia,Maharashtra,GON_015,21.6367,80.3753,453.9,1.2,39.3,North,Peak,Moderate,Low,Agricultural,Sandy,1.68
Gondia,Maharashtra,GON_016,21.2609,80.3477,421.1,5.8,133.2,East,Peak,Moderate,Low,Forest,Red Laterite,0.85
Gondia,Maharashtra,GON_017,21.1855,80.021,315.0,8.4,64.7,East,Hillside,High,Low,Agricultural,Black Cotton,1.44
Gondia,Maharashtra,GON_018,21.2019,80.0095,471.6,7.1,46.8,East,Peak,Moderate,Low,Agricultural,Rocky,1.03
Gondia,Maharashtra,GON_019,21.7015,80.0245,375.0,7.3,221.2,South,Hillside,High,Low,Forest,Alluvial,1.07
Gondia,Maharashtra,GON_020,21.6946,80.2831,365.6,3.2,319.5,North,Hillside,High,Low,Agricultural,Sandy,3.91
Gondia,Maharashtra,GON_021,21.728,80.268,373.3,8.4,355.8,North,Hillside,High,Low,Barren,Alluvial,1.77
Gondia,Maharashtra,GON_022,21.4751,80.0189,201.3,9.0,350.2,North,Hillside,High,Low,Agricultural,Sandy,4.34
Gondia,Maharashtra,GON_023,21.5717,79.9055,344.3,6.3,345.9,North,Hillside,High,Low,Forest,Sandy,3.24
Gondia,Maharashtra,GON_024,21.2469,80.2712,247.2,6.4,60.9,East,Hillside,High,Low,Water Body,Sandy,4.26
Gondia,Maharashtra,GON_025,21.7086,79.9208,224.9,6.9,174.6,South,Hillside,High,Low,Forest,Red Laterite,3.84
Gondia,Maharashtra,GON_026,21.4186,80.3132,445.6,4.6,209.9,South,Peak,Moderate,Low,Agricultural,Red Laterite,2.17
Gondia,Maharashtra,GON_027,21.2159,80.2588,519.3,5.6,91.4,East,Peak,Moderate,Low,Agricultural,Sandy,4.49
Gondia,Maharashtra,GON_028,21.3684,80.4768,370.6,10.6,37.3,North,Hillside,High,Moderate,Urban,Alluvial,3.4
Gondia,Maharashtra,GON_029,21.5352,80.0756,275.4,4.1,14.5,North,Hillside,High,Low,Agricultural,Black Cotton,3.49
Gondia,Maharashtra,GON_030,21.4205,80.425,281.4,7.2,17.2,North,Hillside,High,Low,Urban,Red Laterite,3.04
Hingoli,Maharashtra,HIN_001,19.6789,77.2449,405.1,7.7,340.8,North,Hillside,Moderate,Low,Forest,Red Laterite,3.07
Hingoli,Maharashtra,HIN_002,19.5619,77.3292,659.4,5.6,299.9,West,Peak,Moderate,Low,Barren,Alluvial,2.83
Hingoli,Maharashtra,HIN_003,19.4532,77.2976,550.6,8.1,338.6,North,Peak,Moderate,Low,Urban,Rocky,4.12
Hingoli,Maharashtra,HIN_004,19.8706,76.9761,396.3,6.9,22.8,North,Hillside,High,Low,Agricultural,Black Cotton,3.44
Hingoli,Maharashtra,HIN_005,19.7962,77.0701,210.2,3.7,25.2,North,Valley,High,Low,Forest,Black Cotton,3.15
Hingoli,Maharashtra,HIN_006,19.5737,76.9932,540.6,5.3,12.4,North,Peak,Moderate,Low,Urban,Black Cotton,1.54
Hingoli,Maharashtra,HIN_007,19.9377,77.2781,223.2,4.0,328.6,North,Valley,High,Low,Forest,Sandy,4.21
Hingoli,Maharashtra,HIN_008,19.6664,77.0642,182.2,5.5,307.5,West,Valley,High,Low,Forest,Rocky,4.3
Hingoli,Maharashtra,HIN_009,19.5202,76.9026,256.5,0.0,255.6,West,Valley,High,Low,Forest,Red Laterite,3.74
Hingoli,Maharashtra,HIN_010,19.4297,77.3946,512.2,3.9,117.2,East,Hillside,Moderate,Low,Forest,Red Laterite,3.89
Hingoli,Maharashtra,HIN_011,19.8923,77.4488,841.8,3.5,200.9,South,Peak,Moderate,Low,Forest,Rocky,1.55
Hingoli,Maharashtra,HIN_012,19.4729,77.0388,349.3,2.1,201.4,South,Hillside,High,Low,Forest,Black Cotton,2.79
Hingoli,Maharashtra,HIN_013,19.8509,76.9451,267.9,6.0,262.0,West,Hillside,High,Low,Forest,Red Laterite,0.61
Hingoli,Maharashtra,HIN_014,19.8977,76.8623,232.9,3.2,165.9,South,Valley,High,Low,Forest,Sandy,2.49
Hingoli,Maharashtra,HIN_015,19.7512,77.1675,380.0,2.2,346.9,North,Hillside,High,Low,Agricultural,Black Cotton,1.87
Hingoli,Maharashtra,HIN_016,19.8437,77.3366,394.4,1.3,154.8,South,Hillside,High,Low,Urban,Rocky,2.63
Hingoli,Maharashtra,HIN_017,19.4533,77.0672,500.8,6.1,63.1,East,Hillside,Moderate,Low,Agricultural,Black Cotton,2.05
Hingoli,Maharashtra,HIN_018,19.6307,77.1123,357.7,7.1,192.8,South,Hillside,High,Low,Agricultural,Red Laterite,4.36
Hingoli,Maharashtra,HIN_019,19.8964,77.189,371.3,3.8,15.0,North,Hillside,High,Low,Agricultural,Black Cotton,3.06
Hingoli,Maharashtra,HIN_020,19.8107,76.9868,380.7,7.3,293.4,West,Hillside,High,Low,Agricultural,Alluvial,2.06
Hingoli,Maharashtra,HIN_021,19.6584,76.9213,242.5,7.3,249.8,West,Valley,High,Low,Agricultural,Black Cotton,4.47
Hingoli,Maharashtra,HIN_022,19.6882,76.9079,469.9,5.6,158.0,South,Hillside,Moderate,Low,Forest,Alluvial,2.44
Hingoli,Maharashtra,HIN_023,19.6255,76.8841,433.6,7.0,205.1,South,Hillside,Moderate,Low,Urban,Black Cotton,0.9
Hingoli,Maharashtra,HIN_024,19.5158,77.2514,194.3,7.8,161.1,South,Valley,High,Low,Forest,Alluvial,1.83
Hingoli,Maharashtra,HIN_025,19.9689,77.0812,443.8,7.2,281.7,West,Hillside,Moderate,Low,Forest,Black Cotton,4.29
Hingoli,Maharashtra,HIN_026,19.8931,76.9769,366.4,6.3,270.9,West,Hillside,High,Low,Agricultural,Black Cotton,1.42
Hingoli,Maharashtra,HIN_027,20.0069,77.1862,445.5,8.2,67.2,East,Hillside,Moderate,Low,Urban,Alluvial,2.16
Hingoli,Maharashtra,HIN_028,19.7705,77.0385,433.2,1.8,250.2,West,Hillside,Moderate,Low,Agricultural,Red Laterite,4.14
Hingoli,Maharashtra,HIN_029,19.9713,77.159,468.5,6.2,209.4,South,Hillside,Moderate,Low,Urban,Rocky,3.84
Hingoli,Maharashtra,HIN_030,19.9907,77.3857,169.6,5.7,110.7,East,Valley,High,Low,Urban,Red Laterite,3.89
Jalgaon,Maharashtra,JAL_001,20.9948,75.5753,282.3,3.1,240.4,West,Peak,High,Low,Forest,Black Cotton,0.96
Jalgaon,Maharashtra,JAL_002,21.2818,75.3461,159.1,5.4,91.6,East,Hillside,High,Low,Barren,Alluvial,1.35
Jalgaon,Maharashtra,JAL_003,21.0061,75.7531,175.1,3.8,326.1,North,Hillside,High,Low,Agricultural,Alluvial,0.7
Jalgaon,Maharashtra,JAL_004,20.7484,75.4802,221.9,2.7,5.9,North,Hillside,High,Low,Forest,Alluvial,2.87
Jalgaon,Maharashtra,JAL_005,20.9503,75.8584,90.4,4.4,252.8,West,Valley,Very High,Low,Forest,Sandy,1.03
Jalgaon,Maharashtra,JAL_006,20.8076,75.3513,157.1,3.7,315.6,North,Hillside,High,Low,Water Body,Rocky,3.12
Jalgaon,Maharashtra,JAL_007,21.0981,75.4014,242.5,8.3,249.6,West,Hillside,High,Low,Barren,Black Cotton,0.54
Jalgaon,Maharashtra,JAL_008,20.8984,75.4526,192.3,5.3,273.8,West,Hillside,High,Low,Agricultural,Alluvial,2.2
Jalgaon,Maharashtra,JAL_009,20.9387,75.4423,207.9,0.0,236.1,West,Hillside,High,Low,Water Body,Alluvial,2.0
Jalgaon,Maharashtra,JAL_010,20.7661,75.6272,151.1,6.5,350.1,North,Hillside,High,Low,Water Body,Alluvial,3.79
Jalgaon,Maharashtra,JAL_011,21.2251,75.7089,184.6,7.9,20.7,North,Hillside,High,Low,Forest,Alluvial,3.37
Jalgaon,Maharashtra,JAL_012,21.0022,75.4563,158.3,2.5,261.0,West,Hillside,High,Low,Forest,Alluvial,2.77
Jalgaon,Maharashtra,JAL_013,20.7356,75.3898,185.1,6.9,87.6,East,Hillside,High,Low,Forest,Red Laterite,0.92
Jalgaon,Maharashtra,JAL_014,21.242,75.3006,230.3,6.1,156.2,South,Hillside,High,Low,Barren,Rocky,1.17
Jalgaon,Maharashtra,JAL_015,21.262,75.6363,259.4,11.3,244.6,West,Peak,High,Moderate,Barren,Sandy,1.07
Jalgaon,Maharashtra,JAL_016,21.1184,75.4965,282.0,3.8,355.3,North,Peak,High,Low,Forest,Black Cotton,2.73
Jalgaon,Maharashtra,JAL_017,21.0243,75.3017,202.0,0.4,328.4,North,Hillside,High,Low,Barren,Sandy,4.24
Jalgaon,Maharashtra,JAL_018,20.8566,75.4741,166.6,8.3,8.0,North,Hillside,High,Low,Agricultural,Sandy,1.25
Jalgaon,Maharashtra,JAL_019,21.1991,75.5063,247.6,5.9,56.9,East,Hillside,High,Low,Forest,Black Cotton,0.67
Jalgaon,Maharashtra,JAL_020,20.7681,75.7061,230.8,8.3,281.6,West,Hillside,High,Low,Urban,Red Laterite,2.22
Jalgaon,Maharashtra,JAL_021,21.0306,75.3797,173.4,4.1,342.9,North,Hillside,High,Low,Agricultural,Alluvial,2.7
Jalgaon,Maharashtra,JAL_022,21.2791,75.4296,224.0,9.3,342.3,North,Hillside,High,Low,Forest,Sandy,2.21
Jalgaon,Maharashtra,JAL_023,20.8252,75.4462,221.0,6.8,143.4,South,Hillside,High,Low,Agricultural,Black Cotton,1.86
Jalgaon,Maharashtra,JAL_024,20.8061,75.6107,300.1,4.4,141.1,South,Peak,High,Low,Urban,Red Laterite,3.88
Jalgaon,Maharashtra,JAL_025,21.2025,75.7732,151.7,7.3,238.8,West,Hillside,High,Low,Forest,Alluvial,1.19
Jalgaon,Maharashtra,JAL_026,21.0416,75.4089,167.7,6.2,112.6,East,Hillside,High,Low,Forest,Alluvial,4.02
Jalgaon,Maharashtra,JAL_027,21.1033,75.7402,184.0,4.6,325.4,North,Hillside,High,Low,Forest,Rocky,3.42
Jalgaon,Maharashtra,JAL_028,20.7609,75.6299,262.7,7.6,204.4,South,Peak,High,Low,Water Body,Red Laterite,3.28
Jalgaon,Maharashtra,JAL_029,20.8745,75.5874,223.2,3.0,197.0,South,Hillside,High,Low,Barren,Black Cotton,4.37
Jalgaon,Maharashtra,JAL_030,21.2746,75.5434,230.9,3.7,125.9,East,Hillside,High,Low,Forest,Black Cotton,1.16
Jalna,Maharashtra,JAL_001,19.6602,75.8548,653.8,3.3,329.2,North,Peak,Moderate,Low,Barren,Red Laterite,2.06
Jalna,Maharashtra,JAL_002,19.556,76.098,564.2,9.5,70.3,East,Hillside,Moderate,Low,Forest,Red Laterite,2.79
Jalna,Maharashtra,JAL_003,20.0074,75.7715,246.4,8.0,197.4,South,Valley,High,Low,Forest,Alluvial,2.66
Jalna,Maharashtra,JAL_004,20.0033,75.7967,560.8,9.9,29.5,North,Hillside,Moderate,Low,Agricultural,Rocky,2.99
Jalna,Maharashtra,JAL_005,19.6544,76.1738,558.5,7.2,218.7,South,Hillside,Moderate,Low,Agricultural,Sandy,1.19
Jalna,Maharashtra,JAL_006,19.9101,75.8898,589.2,7.4,351.2,North,Peak,Moderate,Low,Forest,Alluvial,2.75
Jalna,Maharashtra,JAL_007,19.8521,75.9832,319.2,8.1,90.0,East,Hillside,High,Low,Agricultural,Black Cotton,1.31
Jalna,Maharashtra,JAL_008,19.7705,75.6361,272.0,7.8,58.7,East,Valley,High,Low,Agricultural,Sandy,2.12
Jalna,Maharashtra,JAL_009,19.7884,75.9003,675.8,6.1,11.7,North,Peak,Moderate,Low,Urban,Alluvial,3.89
Jalna,Maharashtra,JAL_010,20.0641,75.988,363.1,6.6,237.3,West,Hillside,High,Low,Urban,Rocky,3.24
Jalna,Maharashtra,JAL_011,20.0857,75.6862,739.4,5.6,148.5,South,Peak,Moderate,Low,Agricultural,Black Cotton,0.94
Jalna,Maharashtra,JAL_012,19.5373,76.065,619.3,5.1,244.9,West,Peak,Moderate,Low,Agricultural,Sandy,2.62
Jalna,Maharashtra,JAL_013,19.7355,75.6531,552.4,2.6,145.0,South,Hillside,Moderate,Low,Agricultural,Black Cotton,2.87
